name,adress,latitude,longitude
札幌旭ケ丘店,北海道 札幌市中央区 南8条西23丁目4-6,141.3248,43.04713
札幌宮ケ丘店,北海道 札幌市中央区 宮ケ丘1-1-1,141.3127,43.0582
札幌環状通東店,北海道 札幌市東区 本町2条1丁目5-1,141.382,43.0826
アリオ札幌店,北海道 札幌市東区 北７条東9丁目2-20 アリオ札幌,141.36906,43.07132
新千歳空港店,北海道 千歳市 美々　 新千歳空港連絡施設 3F,141.69594,42.78392
江別 蔦屋書店,北海道 江別市 牧場町14-1,141.53838,43.11425
旭川大雪通店,北海道 旭川市 大雪通4-491-2,142.38527,43.77702
イオンモール旭川駅前店,北海道 旭川市 宮下通7-2-5,142.35698,43.76397
イオンモール旭川西店,北海道 旭川市 緑町23丁目2161-3 イオンモール旭川西,142.32578,43.79459
旭川東光店,北海道 旭川市 東光13条6丁目2-6,142.40721,43.74266
旭川北彩都店,北海道 旭川市 宮前2条1丁目1-1,142.36157,43.76099
旭川医科大学病院店,北海道 旭川市 緑が丘東2条1丁目1-1 旭川医科大学病院,142.38539,43.72903
帯広稲田店,北海道 帯広市 稲田町南8線西10-7,143.19806,42.88985
帯広白樺通り店,北海道 帯広市 西21条南3丁目1-6,143.14375,42.91727
釧路鶴見橋店,北海道 釧路市 昭和中央1-1-1,144.36911,43.01634
イオン釧路店,北海道 釧路郡 釧路町桂木1-1-7 イオン釧路店,144.40482,43.0091
北見KITFRONT店,北海道 釧路郡 釧路町桂木1-1-7 イオン釧路店,144.40482,43.0091
北見KITFRONT店,北海道 北見市 柏陽町592-6 北見KITFRONT,143.90741,43.82421
北見三輪店,北海道 北見市 東三輪2-36-4,143.85822,43.80029
皇居外苑 和田倉噴水公園店,東京都 千代田区 皇居外苑3-1,139.76076,35.68366
竹橋パレスサイド店,東京都 千代田区 一ツ橋1-1-1 竹橋パレスサイドビルディング 1F,139.75751,35.69092
ＫＤＤＩ大手町ビル店,東京都 千代田区 大手町1-8-1 ＫＤＤＩ大手町ビル 1F,139.76434,35.68778
大手町東京サンケイビル店,東京都 千代田区 大手町1-7-2 東京サンケイビル　B1階,139.76505,35.68707
大手町ビル店,東京都 千代田区 大手町1-6-1 大手町ビル,139.76477,35.68644
新大手町ビル店,東京都 千代田区 大手町2-2-1 新大手町ビル,139.76729,35.68547
大手町プレイス店,東京都 千代田区 大手町2-3-1 大手町プレイス,139.76743,35.68678
丸の内三菱ビル店,東京都 千代田区 丸の内2-5-2 三菱ビル,139.76344,35.67997
丸の内新東京ビル店,東京都 千代田区 丸の内3-3-1 丸の内新東京ビル,139.76265,35.67756
ＪＲ東京駅日本橋口店,東京都 千代田区 丸の内1-9-1 丸の内中央ビル,139.76724,35.68125
東京ステーションシティ サピアタワー店,東京都 千代田区 丸の内1-7-12,139.76794,35.6835
グランスタ丸の内店,東京都 千代田区 丸の内1-9-1 JR東日本東京駅構内地下1階改札外,139.76724,35.68125
東京駅 グランルーフ フロント店,東京都 千代田区 丸の内1-9-1 東京駅八重洲中央口B1F　グランルーフ フロント内,139.76724,35.68125
丸の内オアゾ店,東京都 千代田区 丸の内1-6-4 丸の内OAZO,139.76627,35.68371
ＪＲ東海 東京駅新幹線南ラチ内店,東京都 千代田区 丸の内1-9-1　 東京駅構内南部高架下 JRCP東京支店,139.76724,35.68125
グランスタ東京店,東京都 千代田区 丸の内1-9-1　 東京駅構内南部高架下 JRCP東京支店,139.76724,35.68125
グランスタ東京店,東京都 千代田区 丸の内1-9-1 JR東日本東京駅構内１F グランスタ東京 京葉ストリートエリア,139.76724,35.68125
東京駅八重洲北口 東京ギフトパレット店,東京都 千代田区 丸の内1-9-1 東京駅,139.76724,35.68125
有楽町ビル 地下1階店,東京都 千代田区 有楽町1-10-1 有楽町ビル　地下1階,139.7618,35.67494
有楽町ビル1階店,東京都 千代田区 有楽町1-10-1 有楽町ビル 1階,139.7618,35.67494
東京ミッドタウン日比谷店,東京都 千代田区 有楽町1-1-4 東京ミッドタウン日比谷,139.75955,35.67409
有楽町メトロピア店,東京都 千代田区 有楽町1-11-1 東京メトロ有楽町駅構内,139.76288,35.67539
JR有楽町駅京橋口店,東京都 千代田区 有楽町2-9,139.76256,35.67451
日比谷シティ店,東京都 千代田区 内幸町2-2-3 日比谷国際ビルヂング B1F(B132),139.75482,35.67051
山王パークタワー店,東京都 千代田区 永田町2-11-1 山王パークタワー,139.74059,35.67326
赤坂プルデンシャルタワー店,東京都 千代田区 永田町2-13-10 プルデンシャルタワー,139.73891,35.67581
霞ダイニング店,東京都 千代田区 霞が関3-2-5 霞が関ビルディング,139.74791,35.67119
丸の内ビル店,東京都 千代田区 丸の内2-4-1 丸の内ビルディング,139.76379,35.68105
新丸ビル店,東京都 千代田区 丸の内1-5-1 新丸の内ビル,139.76431,35.68258
大手町カンファレンスセンター店,東京都 千代田区 大手町1-3-1 JAビル,139.76237,35.69013
丸の内パークビル店,東京都 千代田区 丸の内2-6-1 丸の内パークビルディング,139.76306,35.67878
ＫＩＴＴＥ丸の内店,東京都 千代田区 丸の内2-7-2,139.76468,35.67908
アトレ秋葉原1店,東京都 千代田区 外神田1-17-6 アトレ秋葉原１,139.77238,35.69827
秋葉原駅前店,東京都 千代田区 神田佐久間町1-6-5 AKIBA・TOLIM,139.77335,35.69783
神田駅前店,東京都 千代田区 神田鍛冶町3-2 神田サンミビル,139.77122,35.69341
都営神保町駅店,東京都 千代田区 神田神保町2-7 都営三田線・新宿線「神保町駅」構内,139.7558,35.6957
神田小川町２丁目店,東京都 千代田区 神田小川町2-5-5 紀陽東京ビル 1F,139.76341,35.69421
お茶の水村田ビル店,東京都 千代田区 神田駿河台2-5 村田ビルディング 1F,139.76096,35.7
お茶の水サンクレール店,東京都 千代田区 神田駿河台4-3,139.76517,35.6988
御茶ノ水ソラシティ店,東京都 千代田区 神田駿河台4-6 御茶ノ水ソラシティ,139.7664,35.69867
淡路町駅前店,東京都 千代田区 神田淡路町1-2,139.76779,35.69572
飯田橋サクラテラス店,東京都 千代田区 富士見2-10-2,139.74358,35.69881
飯田橋サクラテラス 2階店,東京都 千代田区 富士見2-10-2 飯田橋グラン・ブルーム　サクラテラス,139.74358,35.69881
飯田橋アイガーデンテラス店,東京都 千代田区 飯田橋3-10-9 アイガーデンテラス,139.74985,35.70069
九段下店,東京都 千代田区 九段北1-2-1 九段北1丁目ビル 1F,139.75204,35.69598
北の丸スクエア店,東京都 千代田区 九段北1-13-12 北の丸スクエア,139.7506,35.69593
市ヶ谷駅前店,東京都 千代田区 五番町2 市ヶ谷ストア 2F,139.73276,35.68925
麹町店,東京都 千代田区 麹町3-2-5 垣見麹町ビル別館 1F,139.73857,35.68424
東京ガーデンテラス紀尾井町店,東京都 千代田区 紀尾井町1-2 東京ガーデンテラス紀尾井町,139.73718,35.67992
人形町店,東京都 中央区 日本橋人形町3-6-7 人形町共同ビル 1F,139.78131,35.68697
